church,pastor,city,island
Saint Joseph Church (1862),Anastasio Postrano,Hana,Maui
Saint Theresa Church,Arnel Soriano,Kihei,Maui
St Ann's Church,Oliver Ortega,Wailuku,Maui
St John's Episcopal Church,George Wong,Kula,Maui
St Mary's Church,Anastasio Postrano,Hana,Maui
St Peter Church,Anastasio Postrano,Puuiki,Maui
St Rita's Church,Chacko Muthoottil,Haiku,Maui
St. Anthony of Padua Church,Terrence Watanabe,Wailuku,Maui
St. Joseph's Church,Michael Tolentino,Makawao,Maui
St. Paul's catholic church,Anastasio Postrano,Kipahulu,Maui
The Awakening Church,Stephen A. Fussle,Kihei,Maui
The Salvation Army Corps Community Center,Steven & Romelia Howard,Kahului,Maui
Trinity Episcopal Church by-the-Sea,John Hau'oli Tomoso,Kihei,Maui
Upcountry Calvary Chapel,Rick Nagura,Makawao,Maui
Valley Isle Fellowship,Nicolas Love,Wailuku,Maui
Waiehu Community Church,Rocky Komatsu,Wailuku,Maui
Waihe'e Protestant Church,Verl Klassen,Wailuku,Maui
Wailuku Church of God,Ceclia Hoopai,Wailuku,Maui
Wailuku Union Church,Robb Y. Kojima,Wailuku,Maui
Waiola Church,Anela Rosa,Lahaina,Maui
Waipuna Chapel,Shaun Waite,Kula,Maui
Word of Truth Church,Rocky & Bobbie LaRocco,Kahului,Maui
Acts Korean Church,Unknown,Wailuku,Maui
Central Maui Church of Christ,Unknown,Kahului,Maui
Church of the Nazarene,Unknown,Kahului,Maui
Coral Miracle Church,Unknown,Haiku,Maui
Free Church of Tonga,Unknown,Makawao,Maui
The Movement,Unknown,House Church,Maui
Holy Innocents Episcopal Church,Unknown,Lahaina,Maui
Huialoha Church (1859),Unknown,Hana,Maui
Kahakuloa Hawaiian Congregational Church,Unknown,Wailuku,Maui
keolahou congregational hawaiian church,Unknown,Kihei,Maui
Lahuiokalani Ka'?napali Congregational Church.,Unknown,Lahaina,Maui
Maui Christian Church,Unknown,Paia,Maui
Maui Church of Christ,Unknown,Wailuku,Maui
Maui Philippine Baptist Church,Unknown,Kahului,Maui
Olowalu Lanakila Hawaiian Church,Unknown,Lahaina,Maui
Paia Hawaiian Protestant Church,Unknown,Paia,Maui
Palapala Ho'omau Congregational Church,Unknown,Hana,Maui
The Light of the World Church,Unknown,Kihei,Maui
Wananalua Congregational Church,Unknown,Hana,Maui
Abundant Life Church,Kerry & Judie Wasson,Wahiawa,Oahu
Aiea Heights Church,Landon Miller,Aiea,Oahu
Aiea United Methodist Church,Samuel Nam,Aiea,Oahu
Aloha Nani Church,Jamie,Waipahu,Oahu
Amazing Love Church Hawaii,Esther Van Rensburg,Ewa Beach,Oahu
Anchor Church,Rob & Deb McWilliams,Kaneohe,Oahu
Apostolic Faith Church,William M. Han,Honolulu,Oahu
Ark of Safety Christian Fellowship,Geri Amina,Waianae,Oahu
Bethany Assembly of God,Blaise Lasconia,Aiea,Oahu
Bethel Bible Church of Wahaiwa,Frank Cuozzo,Wahiawa,Oahu
Bethel Chapel Assembly of God,Alan Barolome,Waipahu,Oahu
Bible Baptist Church,Thomas W. Castellaw,Wahiawa,Oahu
Bible Baptist Church,Fernie,Waipahu,Oahu
Brethren of Christ International,Rodrigo & Victoria Almosara,Waipahu,Oahu
Calvary Assembly of God,Terry Wong,Honolulu,Oahu
Calvary Chapel Kaneohe,JD Farag,Kaneohe,Oahu
Calvary Chapel Leeward Coast,Kaleo & Mary Searle,Waianae,Oahu
Calvary Chapel Mililani,Elias Storhaug,Mililani,Oahu
Calvary Chapel of Honolulu,Bill,Aiea,Oahu
Calvary Chapel Pearl Harbor,Derald & Sue Skinner,Waipahu,Oahu
Calvary Chapel Wahiawa,Chad Getz,Wahiawa,Oahu
Calvary Chapel West Oahu,Charles & Irene Couch,Ewa Beach,Oahu
Calvary Chapel Windward,Tim & Kathy Newman,Kailua,Oahu
Canaan Community Gospel Center,Lai,Honolulu,Oahu
Central Oahu Christian Church,Jephi Alvarez,Wahiawa,Oahu
Central Samoan Assembly God,Vaaiva Olomua Aiese,Honolulu,Oahu
Central Union Church of Honolulu,Rushan Sinnaduray,Honolulu,Oahu
Central Union Church Windward,Rushan Sinnaduray,Kailua,Oahu
Chinese Baptist Church,Lui Junjie,Honolulu,Oahu
Chinese Christian Alliance Church,Luo Bangxiang,Waianae,Oahu
Christ Church Uniting Disciple & Presbyterians,Kate Lynn Hogue,Kailua,Oahu
Christ Lutheran Church,Keith,Mililani,Oahu
Christ The Foundation,Daniel Hanlon,Kailua,Oahu
Church of Christ,Travis Watanabe,Waianae,Oahu
Church of Pentecost Hawaii PIWC,Kofi Owusu,Wahiawa,Oahu
Church of the Crossroads,David Baumgart,Honolulu,Oahu
Church of the Nazarene,John,Wahiawa,Oahu
City Church Honolulu,John Kim,Honolulu,Oahu
City of Refuge Christian Church,Wayne E. Anderson,Waipahu,Oahu
Community Church of Honolulu,Amy Butler,Honolulu,Oahu
Community Lutheran Church Wels,Charlie Gumm,Honolulu,Oahu
Congregational Church Of Wahiawa,Rick,Wahiawa,Oahu
Connections Church,David & Nancy Whitehead,Kapolei,Oahu
Daybreak Church,Sean Palmer,Kailua,Oahu
Destiny Christian Church,Joe & Ann Onasa'i,Pearl City,Oahu
Elevate Church HI,Dennisa & Zach,Honolulu,Oahu
Emmanuel Episcopal Church,Annalise Castro Pasalo,Kailua,Oahu
Emmanuel Temple,C.E. Harris,Wahiawa,Oahu
Evangelical Christian Church,Bob & Jeanne Strobel,Honolulu,Oahu
Ewa Beach Assembly of God,Chevis & Sharonne English,Ewa Beach,Oahu
Ewa Community Church,Sharon Inake,Ewa Beach,Oahu
Excel Church Hawaii,Daryl & Cladie Yamada,Mililani,Oahu
Faith Assembly of God,Eric D. ,Mililani,Oahu
Faith In Action Church of God,Jeremy & Cassie Willes,Pearl City,Oahu
First Assembly of God Central Oahu,Scott & Debbie Sonoda,Wahiawa,Oahu
First Assembly of God Leeward,Mel & Jennifer Corpuz,Kapolei,Oahu
First Assembly of God Windward,Horace & Talei Chee-Manuia,Kaneohe,Oahu
First Baptist Church,Bong Abagon,Wahiawa,Oahu
First Baptist Church of Honolulu,Barry D. Lovett,Honolulu,Oahu
First Baptist Church of Pearl City,John Lee,Pearl City,Oahu
First Baptist Church-Nanakuli,Eddie Hunt,Waianae,Oahu
First Christian Church of Honolulu,Nan Riddle,Honolulu,Oahu
First Church Hawaii,Richard & Joann McGriffin,Honolulu,Oahu
First Church Hawaii Waipahu,Manny Lopez,Waipahu,Oahu
First Presbyterian Church of Honolulu at Ko'olau,Tim Fearer,Kaneohe,Oahu
First Samoan Congregational Christian Church In Hawaii,Peniamina Sefo,Waianae,Oahu
First Tongan United Methodist,Malakai Tatafu,Waimanalo,Oahu
Friendship Baptist Church,James Reid,Ewa Beach,Oahu
God Squad Church,Guy & Claudine Kapeliela,Kapolei,Oahu
Good News Hawaii Church,Ock Soo Park,Aiea,Oahu
Grace Bible Church Central,Pat Mizuta,Honolulu,Oahu
Grace Fellowship Hawaii Church & Children's Center,David Tamaoka,Waipahu,Oahu
Grace Honolulu Service Location,Gregg & Kris Brenes,Honolulu,Oahu
Greater Mt Zion Holiness Church,Lyons Welch,Hauula,Oahu
Halawa Citadel Of Faith Church Of God In Christ,Jesse T Wilson Sr,Wahiawa,Oahu
H?mama Community Church,Ikaika & Stacey Higa,Kaneohe,Oahu
Harbor Church Honolulu,Grant Murata,Honolulu,Oahu
Harbor Church North Shore,John Boehm,Waialua,Oahu
Harbor Church Nu?uanu,John Hahn,Honolulu,Oahu
Harbor Church West Oahu,Justin White,Kapolei,Oahu
Hawaii Chinese Baptist Church,Tong Zhongqing,Honolulu,Oahu
Hawaii Kai Community Church,Ricki Aoki,Honolulu,Oahu
Hawaii Kai United Church of Christ Office,Mac Carr,Honolulu,Oahu
Hickam Chapel Center,Buster Williams,Joint Base Pearl Harbor-Hickam,Oahu
Holy Hill of Zion Full Gospel,Soma & Annette Tupua,Waianae,Oahu
Holy Theotokos of Iveron Orthodox Church,Nectarios Yangson,Kailua,Oahu
Honolulu Assembly of God,Bryan Ashpole,Honolulu,Oahu
Honolulu Bible Church,Billy Hopper,Honolulu,Oahu
Honolulu Christian Church,Randal Young,Honolulu,Oahu
Honolulu Church of Christ,Tagiilima & Athena Esene,Honolulu,Oahu
Honolulu Church of God,Evan & Lucy Palmer,Honolulu,Oahu
Honolulu First Church of the Nazarene,Randy Beckum,Honolulu,Oahu
Hope Chapel Honolulu,Corey Grinder,Honolulu,Oahu
Hope Chapel Kahuku,Walter,Kahuku,Oahu
Hope Chapel Mililani,Jared Yamaguchi,Mililani,Oahu
Hope Chapel Westside,Dave & Tammy Wilson,Waipahu,Oahu
Hosanna Bible Baptist Church (HBBC),Provy R. Cadelina,Waipahu,Oahu
Huikala Baptist Church,Anthony King,Honolulu,Oahu
Ignite Church Hawaii,Clarency Langley,Schofield Barracks,Oahu
Immanuel Christian Church,Wayne Ajimine,Kaneohe,Oahu
Independent Baptist Church,Kam Ching,Honolulu,Oahu
Inspire Church,Mike & Lisa Kai,Waipahu,Oahu
Inspire Church Mililani,Clint & Michelle Chinen,Mililani,Oahu
International Christian Church,Mike Undershill,Honolulu,Oahu
International Church of Oahu,Scott Custer,Honolulu,Oahu
International River of Life Christian Center,Eddie & Stella Romo,Waianae,Oahu
Island Family Christian Church,Albert Tufono,Honolulu,Oahu
Island Grace Church,Ray Palompo,Mililani,Oahu
Jesus is Lord Church Hawaii Chapter,Eduardo C. Villanueva,Honolulu,Oahu
Journey Church Hawaii (Kapolei Campus),John Honold,Kapolei,Oahu
Joy of Christ Lutheran Church,JP,Pearl City,Oahu
Joyful Community Church,Shawn,Waimanalo,Oahu
Ka Hana O Ke Akua United Church of Christ,David Twigg,Waianae,Oahu
Fishers of Men Ministries,Bird & Lucy,Waianae,Oahu
Ka Mauna o 'Oliveta Church,R. Esprecion,Kaneohe,Oahu
Kahalu?u United Methodist Church,Mosese Taufalele,Kaneohe,Oahu
Kahuku United Methodist Church,Sione Taukolo,Kahuku,Oahu
Kai Point Baptist Church,Rafael Soto,Honolulu,Oahu
Kailua Assembly Of God,Dan Preciado,Kailua,Oahu
Kailua Baptist Church,Todd Morikawa,Kailua,Oahu
Kailua Christian Church,Irene Willis Hassan,Kailua,Oahu
Kailua Church of the Nazarene,John Stout,Kailua,Oahu
Kailua Community Church,Perry Alexander,Kailua,Oahu
Kailua Seventh-day Adventist Church,Jonathan Leonardo,Kailua,Oahu
Kailua United Methodist Church,Brian Belting,Kailua,Oahu
Kaimuki Christian Church,Danny Han,Honolulu,Oahu
Kakaako Christian Fellowship,Mark Morimoto,Honolulu,Oahu
Kalihi Baptist Church,Seeking Pastor,Honolulu,Oahu
Kalihi Union Church,Jonathan Steeper,Honolulu,Oahu
Kanana Fou Church,Falelua Lafitaga,Waipahu,Oahu
K?ne?ohe Congregational Church,Wendell Davis,Kaneohe,Oahu
Kaneohe Door of Faith Church,Timothy & Lorene Alexander,Kaneohe,Oahu
Kaneohe Seventh-day Adventist Church,Tim Nelson,Kaneohe,Oahu
Kapahulu Bible Church,JJ Spurling,Honolulu,Oahu
Keolumana United Methodist Church,Joy Lun,Kailua,Oahu
Koolau Baptist Church,Skip Woodfin,Kaneohe,Oahu
Korean Christian Church,Jeho Lee,Honolulu,Oahu
Kukuilani Baptist Church,David & Sharon,Mililani,Oahu
Lamb of God Makaha Church,"Cindy, Kim & Geri",Waianae,Oahu
Leeward Church of Christ,Daniel Duvall,Waipahu,Oahu
Leeward Community Church,Joe Ong,Pearl City,Oahu
Legacy Christian Church,Pio & Carol Sua-Godinet,Kailua,Oahu
Liberty Christian Fellowship,Ambrose Dela Cruz,Waipahu,Oahu
Lighthouse Christian Fellowshp,Bill,"HI ' Honolulu, HI ' Waimanalo",Oahu
Lighthouse Outreach Center,Headrick Hunkin,Waipahu,Oahu
Liliuokalani Protestant Church,Kuulei Kaio,Haleiwa,Oahu
Lutheran Church of Honolulu,Jeff Lilley,Honolulu,Oahu
Maili Bible Church & School,Jeff White,Waianae,Oahu
Makakilo Bible Church,Jon Elliff,Kapolei,Oahu
Maluhia Baptist Church,Travis,Kailua,Oahu
Maluhia Lutheran Church,Jazzy Bostock,Waianae,Oahu
Manna Church,Shawn Withy-Allen,Kapolei,Oahu
Maranatha Christian Church & Academy,Joe & Ederlie Domingo,Wahiawa,Oahu
Mililani Baptist Church,Dennis Andrews,Mililani,Oahu
Mililani Community Church,Jayson Saito,Mililani,Oahu
Mililani Fil-Am Baptist Church,Dennis Andrews,Town,Oahu
Mililani Presbyterian Church,Ron,Mililani,Oahu
Mission of Sts. Peter and Paul,Romple Emwalu,Haleiwa,Oahu
Moanalua Community Church,Reynaldo Desenganio,Honolulu,Oahu
Mt Kaala Baptist Church,Corey Perkins,Waianae,Oahu
Nanaikapono Protestant Church,Allen Cardines,Waianae,Oahu
Nanakuli Door of Faith Mission,ChoyLun Naone,Waianae,Oahu
New Hope Central Oahu,Mark Palompo,Wahiawa,Oahu
New Hope Kailua,Mark & Meighan Stinton,Kailua,Oahu
New Hope Kapolei,Glenn Yamaguchi,Waipahu,Oahu
New Hope Leeward - Kapolei Campus,Josiah Nordgren,Kapolei,Oahu
New Hope Windward,TJ,Kaneohe,Oahu
New Hope Windward Office,Josiah Nordgren,Kailua,Oahu
New Life Body of Christ Church,Michael Henderson,Wahiawa,Oahu
New Life Church Honolulu,Jocelyn K. McMahon,Honolulu,Oahu
New Testament Christian Church and Servicemen's Home,Juan Cardenas,Wahiawa,Oahu
Newtown Church of God,Pastor B & Lady Z,Aiea,Oahu
North Shore Christian Fellowship,Danny Angel,Haleiwa,Oahu
North Windward Baptist Church of Hawaii,Lance Fairly,Hauula,Oahu
Nu'uanu Baptist Church,Bob Gierhart,Honolulu,Oahu
Nu'uanu Congregational Church,Jeannie Thompson,Honolulu,Oahu
Oahu Church of Christ,Anthony Galang,Honolulu,Oahu
Olive United Methodist Church,Chi Young Jeong,Wahiawa,Oahu
One Love Ministries ' Windward,Dustin Hokama,Kailua,Oahu
Our Lady of Mount Carmel Church,Wright,Kaneohe,Oahu
Our Lady of Sorrows,Niko Atonio,Wahiawa,Oahu
Our Lady of the Mount,Edgar B. Brillantes,Honolulu,Oahu
Pacific Islands Bible Church,Joshua,Mililani,Oahu
Pali View Baptist Church,Steve Irvin,Kaneohe,Oahu
Paradise Chapel of the Assemblies of God,Ronaldo Pascua,Waianae,Oahu
Parker United Methodist Church,John Finau,Kaneohe,Oahu
Pearl City Community Church,John Bartsch,Pearl City,Oahu
Pearlside Church,Billy Lile,Aiea,Oahu
Pearlside Church - Downtown,Tim Ma,Honolulu,Oahu
Pearlside Church - Kaneohe,Kei Omo,Kaneohe,Oahu
Pearlside Church - Kapolei,Wade Inn,Kapolei,Oahu
Pearlside Church - Pearl Highlands,Alfredo Canencia,Pearl City,Oahu
Potter's House Christian Fellowship Church,Dan Jones,Waipahu,Oahu
Resurrection of the Lord Church,Peter Miti,Waipahu,Oahu
Reunion Hawaii,Gary Langley,Kaneohe,Oahu
Rise Church,David & Missy Russell,Kapolei,Oahu
River Church Hawaii,Esther Van Rensburg,Kapolei,Oahu
Rock Church Oahu,Miles,Honolulu,Oahu
Rock Point Baptist Church,Kevin Hart,Mililani,Oahu
Saint Elizabeth church,David J. Gierlach,Honolulu,Oahu
Saint John the Baptist Catholic Church,Jaroslaw Z. Skrzypek,Honolulu,Oahu
Saint Mark Lutheran Church,Dan,Kaneohe,Oahu
Saint Stephens Church,Mario Raquepo,Honolulu,Oahu
"Samoan Church of Hawaii, LMS Nanakuli",Iese Tu'uao,Waianae,Oahu
Samoan Congregational Christian Church Ierusalema Fou,Tafale Fuiava,Honolulu,Oahu
Samoan Methodist Church Waianae Center,Sione Taukolo,Waianae,Oahu
Sand of the Sea Church,Pastor Baker,Waipahu,Oahu
South Shore Christian Fellowship,Strat & Doreen Goodhue,Waimanalo,Oahu
St Ann's Church,Richard McNally,Kaneohe,Oahu
St Christopher's Episcopal Church,Giovan King,Kailua,Oahu
St George Church,Raymund Ellorin,Waimanalo,Oahu
St John Lutheran Church,Kathrun R. Zurcher,Kailua,Oahu
St Joseph Church,Geronimo Castro,Waipahu,Oahu
St Luke's Episcopal Church,Robert L. Fitzpatrick,Honolulu,Oahu
St Matthew's Episcopal Church,Ernesto Pasalo,Waimanalo,Oahu
St Michael,Romple Emwalu,Waialua,Oahu
St Roch,Paul John Camiring,Kahuku,Oahu
St Stephen's Episcopal Church,Kaleo Patterson,Wahiawa,Oahu
St Timothy's Episcopal Church,Karen Swanson,Aiea,Oahu
St. Joachim RC Church,Paul John Camiring,Hauula,Oahu
St. John the Baptist Episcopal Church,Jazzy Bostock,Waianae,Oahu
St. John Vianney Catholic Church,Vincent Vu,Kailua,Oahu
St. John's By-the-Sea Episcopal Church,Paul Nahoa Lucas,Kaneohe,Oahu
St. Jude Catholic Church,Khanh Hoang,Kapolei,Oahu
St. Rita Catholic Church,Paulo Kosaka,Waianae,Oahu
Sunset Beach Christian Church,Jacob Pierce,Haleiwa,Oahu
Surfers Church,Tom & Cindy Bauer,Wahiawa,Oahu
The Ark Christian Church,Jake Stewart,Kaneohe,Oahu
The House Established,John Termini,Waimanalo,Oahu
The Mission North Shore,Tripp Turner,Haleiwa,Oahu
The Potter's House,John Lee,Waianae,Oahu
The Refuge Church Koolauloa,Garrett Bonner,Hauula,Oahu
The Rock Church Oahu,Jonathan & Debbie Sanders,Pearl City,Oahu
The Universal Church,Bira Joshua,Waipahu,Oahu
The Wave Christian Fellowship,Lance & Caron Aquino,Kailua,Oahu
Tikvat Yisrael Hawai'i Messianic Congregation,Daniel Klutstein,Waianae,Oahu
Trinity Church Central Oahu,J.C. Cunningham,Mililani,Oahu
Trinity Lutheran Church,Stephen Becker,Wahiawa,Oahu
Trinity Presbyterian Church,Todd Capen,Kailua,Oahu
True Light Church of Hawaii,Jeffrey Jones,Honolulu,Oahu
Unity Windward,Geo Downer,Kaneohe,Oahu
Wahiawa Christian Church,Nan Riddle,Wahiawa,Oahu
Wahiawa Seventh-day Adventist Church,Ron Taylor,Wahiawa,Oahu
Wahiawa United Methodist Church,Jessica,Wahiawa,Oahu
Waialae Baptist Church,Matt Sanders,Honolulu,Oahu
Waialua Christian Church,Steven F. Sturm,Waialua,Oahu
Waialua United Church of Christ,Nan Riddle,Waialua,Oahu
Waianae Assembly of God,Abigail,Waipahu,Oahu
Waianae Baptist Church,Michael Brooks,Waianae,Oahu
Waianae Samoan Church,Frank Papu,Waianae,Oahu
Waianae Seventh-day Adventist Church,Puia Fanai,Waianae,Oahu
Waianae United Methodist Church,Jessica Kawamura,Waianae,Oahu
The Pentecostals of Waianae,Michael Loscalzo,Waianae,Oahu
Waikiki Baptist Church,Andrew Large,Honolulu,Oahu
Waikiki Beach Chaplaincy,Zachary Stankovitz,Honolulu,Oahu
Waikiki Beach Gathering - Church on da Beach,Brady Arneson,Honolulu,Oahu
Waimanalo Assembly of God,Janet Cordeiro,Waimanalo,Oahu
Waimanalo Seventh-day Adventist Church,Tim Nelson,Waimanalo,Oahu
Waiokeola Congregational Church,Jonathan S. Pak,Honolulu,Oahu
Waiola Worship Center Seventh-day Adventist Church,Tim Nelson,Kaneohe,Oahu
Waipahu Community Christian Church,Glen Basuel,Waipahu,Oahu
Waipahu Seventh-day Adventist Church,Romy Villoso,Waipahu,Oahu
Waipahu United Church of Christ,Makana Milotta,Waipahu,Oahu
Waipi'o Community Baptist Church,Jerry Saludez,Waipahu,Oahu
Waipio Grace Brethren Church,Dave Heldt,Mililani,Oahu
Wellspring Covenant Church,Rebecca Stringer,Aiea,Oahu
Wellspring Fellowship Church of Christ,David Cady,Waipahu,Oahu
West Oahu Christian Church,Stan & Amy Miyamoto,Waipahu,Oahu
Windward Baptist Church,Kevin Akana,Kaneohe,Oahu
Windward Church of the Nazarene,Kevin McGinnis,Kaneohe,Oahu
Word Of Life Christian Center,Art & Kuna Sepulveda,Honolulu,Oahu
Ziona Hou Church,Jay & Shan Foster,Waianae,Oahu
Bishop Memorial Church,Unknown,Honolulu,Oahu
Calvary Independent Church,Unknown,Wahiawa,Oahu
Camp Homelani Chapel,Unknown,Waialua,Oahu
Central Oahu Bible Church,Unknown,Mililani,Oahu
Christ's Church at Kapolei,Unknown,Kapolei,Oahu
Church of Christ at Kailua,Unknown,Kailua,Oahu
Church of Christ at Pearl Harbor,Unknown,Honolulu,Oahu
Church of the New Testament,Unknown,Honolulu,Oahu
Cornerstone Fellowship,Unknown,Mililani,Oahu
Crusaders of the Divine Church,Unknown,Wahiawa,Oahu
Ekalesia Foundation of Jesus,Unknown,Kaneohe,Oahu
First Baptist Church,Unknown,Waimanalo,Oahu
Hauula Seventh-day Adventist Church,Unknown,Hauula,Oahu
Honolulu Bible Fellowship,Unknown,Honolulu,Oahu
Kailua Missionary Baptist Church,Unknown,Kailua,Oahu
Kaneohe Kokokahi UCC,Unknown,Kaneohe,Oahu
Kapolei Seventh-day Adventist Church,Unknown,Kapolei,Oahu
Living Faith Baptist Church,Unknown,Honolulu,Oahu
Mission Fellowship Ministry,Unknown,Waianae,Oahu
Sacred Heart,Unknown,Waianae,Oahu
St Anthony of Padua Catholic Church,Unknown,Kailua,Oahu
St Stephen Catholic Church,Unknown,Honolulu,Oahu
St. Sophia Ukrainian Church,Unknown,Waianae,Oahu
True Jesus Church Oahu,Unknown,Honolulu,Oahu
VIVE CHURCH Honolulu,Unknown,Honolulu,Oahu
Wahiawa Church of Christ,Unknown,Wahiawa,Oahu
Waipahu Free Will Baptist Church,Unknown,Waipahu,Oahu
Waipahu Samoan Assembly of God Church,Unknown,Waipahu,Oahu
Windward Missionary Church,Unknown,Kaneohe,Oahu
Hawaii Christian Church,Unknown,Honolulu,Oahu
